Cidades,Quantidade_ton,PIB_reais_correntes_2016,População,Grau de Urbanização (Em %)
Matao,73390,3720652,79171,98.16
Maua,144255,13963846,447911,100
Mendonca,1642,216568.5,4934,85.67
Meridiano,684,720319.3,3775,71.55
Mesopolis,600,50297.76,1890,84.39
Mineiros do Tiete,0,163743,12432,95.53
Mira Estrela,1087,55529.58,2905,66.71
Mirandopolis,5853,611656.8,28335,90.69
Mirassol,18000,1751644,56685,97.47
Mirassolandia,900,85846.12,4580,81.31
Mococa,15670,1937895,66606,94.36
Mogi das Cruzes,143050,14426294,419486,92.57
Mogi Guacu,44025,4993575,145149,95.67
Mogi Mirim,26159,4275830,89390,95.22
Mombuca,730,66889.48,3313,86.87
Moncoes,1251,70989.93,2166,86.93
Mongagua,23022,913697,52169,99.56
Monte Alegre do Sul,3335,192078.3,7589,60.8
Monte Alto,1145,1747925,47959,96.53
Monte Aprazivel,6416,627139.4,23045,92.48
Monte Azul Paulista,14450,490771.6,18408,94.97
Monte Castelo,1207,89703.72,4007,82.31
Monte Mor,14030,2260958,56359,95.1
Monteiro Lobato,784,57845.93,4364,44.04
Morro Agudo,2401,1240390,31383,97.29
Morungaba,2473,396689.5,12815,88.9
Motuca,842,82173.11,4536,77.84
Narandiba,1222,229625.1,4671,78.91
Nazare Paulista,5500,310530.6,17842,95.01
Neves Paulista,2127,188280.7,8677,91.6
Nhandeara,360,284482.4,10790,83.17
Nipoa,4369,86712.17,4781,90.27
Nova Alianca,1450,117985,6289,86.23
Nova Campina,1325,283827.5,9303,76.18
Nova Canaa Paulista,192,34656.7,1987,47.86
Nova Europa,1600,313712.1,10323,94.41
Nova Granada,4620,418621.5,20411,93.5
Nova Guataporanga,578,29362.92,2188,89.03
Nova Independencia,700,123891,3547,83.59
Nova Odessa,11203,2810059,56142,98.37
Novais,886,48468.25,5256,92.87
Novo Horizonte,9257,1246711,38281,93.67
Nuporanga,1407,468829,7141,94.33
Ocaucu,2757,96687.33,4149,84.74
Olimpia,15717,1899213,51826,95.23
Onda Verde,1310,202840.2,4126,83.42
Orindiuva,3802,443243,6529,93.03
Orlandia,10945,1598881,41570,97.42
Osasco,913009,74402691,676149,100
Osvaldo Cruz,7023,974585.4,31185,90.88
Ourinhos,37733,2772919,108327,97.42
Ouroeste,5521,424151.8,9385,92.68
Pacaembu,3925,199374.1,13105,73.68
Palestina,2228,565086.7,11863,85.22
Palmares Paulista,2038,109618,12398,97.12
Palmeira D Oeste,750,187300.4,9239,79.87
Palmital,1610,612797.8,21484,94.09
Panorama,912,254551.4,15017,97.74
Paraguacu Paulista,10603,1183813,43629,90.62
Paraibuna,3241,255092.4,17976,30.15
Paraiso,1525,233784.8,6169,90.32
Paranapua,1687,82281.16,3873,91.07
Parapua,5064,297742.5,10600,85.06
Pardinho,1600,277182.1,6144,86.08
Pariquera-Acu,10,505245.5,19015,70.1
Parisi,620,37168.78,2050,82.93
Patrocinio Paulista,4735,889461.2,14031,83.9
Pauliceia,1207,575097.5,6910,87.6
Paulinia,72075,31504043,98915,99.91
Paulistania,469,30917.32,1774,75.25
Paulo de Faria,5808,227325.2,8531,91.34
Pederneiras,21901,1673972,44383,93
Pedra Bela,630,73567.11,5912,27.52
Pedranopolis,370,55747.84,2455,63.42
Pedreira,13009,1124078,45161,99.16
Pedrinhas Paulista,642,101683.5,2990,86.35
Penapolis,19397,1685692,60157,96.57
Pereira Barreto,8991,819847.3,25276,93.48
Pereiras,1558,150353,8147,66.79
Piacatu,1155,100550.2,5714,91.07
Piedade,15394,1175922,53078,46.67
Pilar do Sul,9245,594350.8,27692,81.94
Pindamonhangaba,36730,6708744,158974,97.08
Pindorama,3712,305689.5,15946,94.66
Pinhalzinho,3249,235728.3,14275,50.02
Piquete,2500,148416.2,13754,93.78
Piracaia,6720,443893.1,25929,100
Piracicaba,90122,21557592,382817,98.13
Piraju,11554,602190.8,28569,91.52
Pirajui,4300,395072.3,23169,81.86
Pirangi,3634,251809,10775,91.35
Pirapozinho,14384,722608.5,26461,95.68
Pirassununga,26583,2474551,72691,93.13
Piratininga,3203,193093.8,12875,87.04
Pitangueiras,4779,1028381,37613,97.15
Planalto,3,272408.3,4964,87.67
Platina,653,76772.15,3408,81.57
Poa,35752,4343585,112820,98.42
Pompeia,6978,1070880,20901,93.57
Pongai,1390,75098.81,3376,86.97
Pontal,9584,1034414,46869,98.79
Populina,3144,92105.29,4058,83.02
Porangaba,974,170534.4,9031,48.28
Porto Feliz,13077,1639061,50877,86.23
Porto Ferreira,10368,1745289,53361,98.21
